id,g(x)
0,0.9999
1,0.9997
2,0.9995
3,0.9993
4,0.999
5,0.9988
6,0.9986
7,0.9984
8,0.9982
9,0.998
10,0.9978
11,0.9976
12,0.9974
13,0.9972
14,0.997
15,0.9968
16,0.9966
17,0.9964
18,0.9962
19,0.996
20,0.9958
21,0.9956
22,0.9954
23,0.9952
24,0.995
25,0.9948
26,0.9947
27,0.9944
28,0.9942
29,0.994
30,0.9938
31,0.9936
32,0.9934
33,0.9932
34,0.993
35,0.9928
36,0.9926
37,0.9924
38,0.9922
39,0.992
40,0.9918
41,0.9916
42,0.9914
43,0.9912
44,0.991
45,0.9908
46,0.9906
47,0.9904
48,0.9902
49,0.99
50,0.9898
51,0.9896
52,0.9894
53,0.9892
54,0.989
55,0.9888
56,0.9886
57,0.9884
58,0.9882
59,0.988
60,0.9878
61,0.9876
62,0.9874
63,0.9872
64,0.987
65,0.9868
66,0.9866
67,0.9864
68,0.9862
69,0.986
70,0.9858
71,0.9856
72,0.9854
73,0.9852
74,0.985
75,0.9848
76,0.9846
77,0.9844
78,0.9842
79,0.984
80,0.9838
81,0.9836
82,0.9834
83,0.9832
84,0.983
85,0.9828
86,0.9826
87,0.9824
88,0.9822
89,0.982
90,0.9818
91,0.9816
92,0.9814
93,0.9812
94,0.981
95,0.9809
96,0.9807
97,0.9805
98,0.9803
99,0.9801
100,0.9799
101,0.9797
102,0.9795
103,0.9793
104,0.9791
105,0.9789
106,0.9787
107,0.9785
108,0.9783
109,0.9781
110,0.9779
111,0.9777
112,0.9775
113,0.9773
114,0.9771
115,0.9769
116,0.9767
117,0.9765
118,0.9763
119,0.9761
120,0.9759
121,0.9757
122,0.9755
123,0.9753
124,0.9751
125,0.9749
126,0.9747
127,0.9745
128,0.9743
129,0.9741
130,0.9739
131,0.9737
132,0.9735
133,0.9733
134,0.9731
135,0.9729
136,0.9727
137,0.9725
138,0.9723
139,0.9721
140,0.972
141,0.9718
142,0.9716
143,0.9714
144,0.9712
145,0.971
146,0.9708
147,0.9706
148,0.9704
149,0.9702
150,0.97
151,0.9698
152,0.9696
153,0.9694
154,0.9692
155,0.969
156,0.9688
157,0.9686
158,0.9684
159,0.9682
160,0.968
161,0.9679
162,0.9677
163,0.9675
164,0.9673
165,0.9671
166,0.9669
167,0.9667
168,0.9665
169,0.9663
170,0.9661
171,0.9659
172,0.9657
173,0.9655
174,0.9653
175,0.9651
176,0.9649
177,0.9647
178,0.9645
179,0.9643
180,0.9641
181,0.9639
182,0.9637
183,0.9635
184,0.9633
185,0.9631
186,0.9629
187,0.9627
188,0.9625
189,0.9623
190,0.9621
191,0.9619
192,0.9617
193,0.9615
194,0.9613
195,0.9611
196,0.961
197,0.9608
198,0.9606
199,0.9604
200,0.9602
201,0.96
202,0.9598
203,0.9596
204,0.9594
205,0.9592
206,0.959
207,0.9588
208,0.9586
209,0.9584
210,0.9582
211,0.958
212,0.9578
213,0.9576
214,0.9574
215,0.9572
216,0.957
217,0.9568
218,0.9566
219,0.9564
220,0.9562
221,0.956
222,0.9558
223,0.9556
224,0.9554
225,0.9552
226,0.955
227,0.9548
228,0.9546
229,0.9544
230,0.9542
231,0.954
232,0.9538
233,0.9536
234,0.9534
235,0.9532
236,0.953
237,0.9528
238,0.9526
239,0.9524
240,0.9522
241,0.952
242,0.9518
243,0.9516
244,0.9514
245,0.9512
246,0.951
247,0.9508
248,0.9506
249,0.9504
250,0.9502
251,0.95
252,0.9498
253,0.9496
254,0.9494
255,0.9492
256,0.949
257,0.9488
258,0.9486
259,0.9485
260,0.9483
261,0.9481
262,0.9479
263,0.9477
264,0.9475
265,0.9473
266,0.9471
267,0.9469
268,0.9467
269,0.9465
270,0.9463
271,0.9461
272,0.9459
273,0.9457
274,0.9455
275,0.9453
276,0.9451
277,0.9449
278,0.9447
279,0.9445
280,0.9443
281,0.9441
282,0.9439
283,0.9437
284,0.9435
285,0.9433
286,0.9431
287,0.9429
288,0.9427
289,0.9425
290,0.9423
291,0.9421
292,0.9419
293,0.9417
294,0.9415
295,0.9413
296,0.9411
297,0.9409
298,0.9407
299,0.9406
300,0.9404
301,0.9402
302,0.94
303,0.9398
304,0.9396
305,0.9394
306,0.9392
307,0.939
308,0.9388
309,0.9386
310,0.9384
311,0.9382
312,0.938
313,0.9378
314,0.9376
315,0.9374
316,0.9372
317,0.937
318,0.9368
319,0.9366
320,0.9364
321,0.9362
322,0.936
323,0.9358
324,0.9356
325,0.9354
326,0.9352
327,0.935
328,0.9348
329,0.9346
330,0.9345
331,0.9343
332,0.9341
333,0.9339
334,0.9337
335,0.9335
336,0.9333
337,0.9331
338,0.9329
339,0.9327
340,0.9326
341,0.9324
342,0.9322
343,0.932
344,0.9318
345,0.9316
346,0.9315
347,0.9313
348,0.9311
349,0.9309
350,0.9307
351,0.9305
352,0.9303
353,0.9301
354,0.9299
355,0.9297
356,0.9295
357,0.9294
358,0.9292
359,0.929
360,0.9288
361,0.9286
362,0.9284
363,0.9283
364,0.9281
365,0.9279
366,0.9277
367,0.9275
368,0.9273
369,0.9272
370,0.9271
371,0.9269
372,0.9267
373,0.9265
374,0.9263
375,0.9261
376,0.9259
377,0.9257
378,0.9256
379,0.9254
380,0.9252
381,0.925
382,0.9248
383,0.9246
384,0.9244
385,0.9242
386,0.924
387,0.9238
388,0.9236
389,0.9234
390,0.9232
391,0.923
392,0.9228
393,0.9226
394,0.9224
395,0.9222
396,0.922
397,0.9218
398,0.9216
399,0.9214
400,0.9212
401,0.921
402,0.9208
403,0.9207
404,0.9205
405,0.9203
406,0.9201
407,0.9199
408,0.9197
409,0.9196
410,0.9194
411,0.9192
412,0.919
413,0.9188
414,0.9186
415,0.9184
416,0.9182
417,0.918
418,0.9178
419,0.9176
420,0.9175
421,0.9173
422,0.9171
423,0.9169
424,0.9167
425,0.9165
426,0.9163
427,0.9161
428,0.9159
429,0.9157
