Temp inicial,Melhor Escolha
1,13
2,33
3,39
4,47
5,70
6,90
7,95
8,101
9,113
10,118
11,131
12,152
13,159
14,177
15,192
16,197
17,216
18,230
19,247
20,270
21,290
22,309
23,309
24,309
25,309
26,309
27,309
28,309
29,309
30,309
31,309
32,309
33,309
34,309
35,309
36,309
37,309
38,309
39,309
40,309
41,309
42,309
43,309
44,309
45,309
46,309
47,309
48,309
49,309
50,309
51,309
52,309
53,309
54,321
55,321
56,341
57,341
58,341
59,341
60,341
61,341
62,341
63,341
64,341
65,341
66,341
67,341
68,341
69,341
70,341
71,341
72,341
73,341
74,341
75,341
76,341
77,341
78,341
79,341
80,341
81,341
82,341
83,341
84,341
85,341
86,341
87,341
88,341
89,341
90,341
91,341
92,341
93,341
94,341
95,341
96,341
97,341
98,341
99,341
100,341
101,341
102,341
103,341
104,341
105,341
106,341
107,341
108,341
109,341
110,341
111,341
112,341
113,341
114,341
115,377
116,377
117,377
118,377
119,377
120,377
121,377
122,377
123,377
124,377
125,377
126,377
127,365
128,365
129,365
130,365
131,365
132,368
133,368
134,368
135,368
136,368
137,374
138,374
139,374
140,374
141,374
142,374
143,374
144,374
145,374
146,374
147,374
148,374
149,374
150,374
151,374
152,374
153,374
154,374
155,374
156,374
157,374
158,374
159,374
160,374
161,374
162,374
163,374
164,374
165,374
166,374
167,374
168,374
169,374
170,374
171,374
172,374
173,374
174,374
175,374
176,374
177,374
178,374
179,374
180,374
181,374
182,374
183,374
184,369
185,369
186,369
187,369
188,369
189,369
190,369
191,369
192,369
193,369
194,369
195,369
196,383
197,389
198,389
199,389
200,389
201,389
202,389
203,389
204,401
205,401
206,401
207,401
208,401
209,401
210,401
211,401
212,401
213,401
214,401
215,401
216,401
217,401
218,401
219,400
220,400
221,400
222,400
223,400
224,400
225,400
226,416
227,416
228,416
229,416
230,416
231,416
232,416
233,416
234,416
235,416
236,416
237,416
238,416
239,416
240,416
241,416
242,416
243,416
244,416
245,416
246,416
247,416
248,436
249,436
250,436
251,436
252,436
253,436
254,436
255,436
256,436
257,436
258,436
259,436
260,436
261,436
262,436
263,436
264,456
265,456
266,456
267,456
268,456
269,456
270,456
271,456
272,456
273,456
274,456
275,456
276,456
277,456
278,456
279,456
280,456
281,456
282,456
283,456
284,456
285,456
286,456
287,456
288,456
289,456
290,456
291,456
292,456
293,456
294,456
295,456
296,456
297,456
298,456
299,456
300,456
301,456
302,456
303,456
304,456
305,456
306,456
307,456
308,456
309,459
310,459
311,459
312,459
313,459
314,459
315,459
316,459
317,459
318,459
319,459
320,459
321,459
322,459
323,459
324,459
325,459
326,459
327,459
328,459
329,459
330,466
331,466
332,466
333,466
334,466
335,466
336,466
337,463
338,463
339,463
340,463
341,463
342,463
343,463
344,463
345,463
346,463
347,463
348,463
349,489
350,489
351,489
352,489
353,489
354,489
355,489
356,485
357,485
358,485
359,485
360,485
361,485
362,485
363,485
364,485
365,485
366,485
367,485
368,485
369,484
370,486
371,486
372,486
373,486
374,486
375,486
376,502
377,497
378,497
379,513
380,513
381,514
382,486
383,486
384,502
385,503
386,503
387,521
388,521
389,521
390,521
391,521
392,521
393,521
394,521
395,521
396,521
397,518
398,518
399,518
400,518
401,518
402,531
403,531
404,531
405,531
406,531
407,541
408,541
409,541
410,535
411,535
412,542
413,542
414,542
415,542
416,542
417,549
418,549
419,549
420,552
421,552
422,552
423,552
424,552
425,553
426,553
427,553
428,580
429,580
430,581
431,581
432,581
433,582
434,582
435,582
436,582
437,576
438,576
439,576
440,576
441,576
442,576
443,576
444,576
445,576
446,576
447,576
448,576
449,576
450,576
451,576
452,576
453,576
454,576
455,576
456,576
457,576
458,576
459,576
460,576
461,576
462,576
463,576
464,576
465,576
466,576
467,576
468,576
469,576
470,576
471,576
472,576
473,576
474,576
475,576
476,576
477,585
478,585
479,585
480,585
481,585
482,585
483,585
484,585
485,585
486,585
487,585
488,585
489,584
490,584
491,584
492,586
493,586
494,588
495,597
496,597
497,597
498,597
499,597
500,597
501,597
502,597
503,597
504,597
505,600
506,600
507,600
508,600
509,599
510,599
511,599
512,599
513,599
514,599
515,599
516,599
517,599
518,599
519,599
520,599
521,599
522,599
523,599
524,599
525,589
526,589
527,589
528,589
529,580
530,580
531,580
532,580
533,580
534,580
535,580
536,580
537,580
538,580
539,580
540,580
541,580
542,580
543,580
544,580
545,580
546,580
547,580
548,580
549,580
550,580
551,580
552,580
553,580
554,580
555,584
556,584
557,584
558,584
559,584
560,584
561,584
562,584
563,584
564,584
565,589
566,599
567,599
568,597
569,597
570,597
571,597
572,597
573,597
574,597
575,597
576,597
577,597
578,602
579,602
580,602
581,602
582,602
583,602
584,602
585,602
586,601
587,592
588,570
589,570
590,570
591,570
592,570
593,571
594,571
595,571
596,570
597,570
598,570
599,570
600,570
601,570
602,570
603,570
604,570
605,570
606,570
607,570
608,570
609,570
610,570
611,570
612,570
613,570
614,585
615,585
616,585
617,585
618,585
619,585
620,585
621,585
622,585
623,594
624,615
625,615
626,615
627,615
628,592
629,592
630,592
631,613
632,613
633,613
634,613
635,613
636,613
637,613
638,613
639,613
640,613
641,613
642,613
643,617
644,617
645,617
646,617
647,617
648,615
649,624
650,624
651,624
652,624
653,624
654,624
655,622
656,622
657,622
658,622
659,622
660,622
661,622
662,622
663,622
664,622
665,622
666,622
667,626
668,626
669,626
670,626
671,626
672,626
673,626
674,626
675,626
676,626
677,626
678,633
679,633
680,633
681,633
682,633
683,633
684,632
685,632
686,632
687,632
688,632
689,632
690,632
691,632
692,631
693,631
694,631
695,631
696,631
697,631
698,631
699,631
700,631
701,631
702,631
703,631
704,631
705,631
706,631
707,631
708,631
709,631
710,631
711,631
712,631
713,619
714,619
715,619
716,619
717,619
718,619
719,619
720,604
721,604
722,606
723,606
724,606
725,606
726,606
727,606
728,606
729,606
730,606
731,610
732,610
733,610
734,604
735,604
736,604
737,604
738,604
739,604
740,604
741,604
742,604
743,604
744,604
745,604
746,604
747,604
748,604
749,604
750,604
751,604
752,604
753,604
754,618
755,618
756,618
757,618
758,618
759,620
760,620
761,620
762,620
763,620
764,620
765,620
766,620
767,634
768,634
769,634
770,634
771,634
772,634
773,629
774,629
775,629
776,629
777,629
778,629
779,629
780,631
781,668
782,668
783,668
784,668
785,668
786,670
787,670
788,670
789,670
790,670
791,670
792,665
793,665
794,665
795,665
796,665
797,665
798,665
799,665
800,665
801,665
802,667
803,667
804,667
805,667
806,667
807,667
808,667
809,667
810,667
811,667
812,667
813,668
814,668
815,668
816,668
817,668
818,668
819,668
820,668
821,668
822,668
823,668
824,668
825,668
826,668
827,668
828,668
829,668
830,668
831,675
832,675
833,675
834,675
835,675
836,665
837,660
838,660
839,685
840,675
841,668
842,668
843,668
844,668
845,668
846,668
847,668
848,665
849,665
850,665
851,665
852,665
853,665
854,665
855,665
856,665
857,665
858,665
859,665
860,665
861,665
862,665
863,665
864,665
865,665
866,665
867,665
868,665
869,665
870,665
871,665
872,665
873,665
874,665
875,686
